ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
4312,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),RUA,DOS TAMOIOS,ENTRE RUA CURITIBA E AVE PARANA,MOTOFRETE,POINT (610740.06 7797060)
4288,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,1 HORA(S),RUA,DOS TIMBIRAS,ENTRE RUA PARACATU E AVE BARBACENA,MOTOFRETE,POINT (609633.7 7796629.5)
4288,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,1 HORA(S),RUA,DOS TIMBIRAS,ENTRE RUA PARACATU E AVE BARBACENA,MOTOFRETE,POINT (609633.7 7796629.5)
4315,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),RUA,GOIAS,ENTRE RUA DA BAHIA E AVE ALVARES CABRAL,MOTOFRETE,POINT (611323.44 7796529)
4315,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),RUA,GOIAS,ENTRE RUA DA BAHIA E AVE ALVARES CABRAL,MOTOFRETE,POINT (611323.44 7796529)
3422,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,MOTOFRETE,POINT (607925.6 7800253)
3422,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,MOTOFRETE,POINT (607925.6 7800253)
4228,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,15,150,1 HORA(S),AVENIDA,ALVARES CABRAL,ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO,MOTOFRETE,POINT (609827.06 7795572)
4228,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,15,75,1 HORA(S),AVENIDA,ALVARES CABRAL,ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO,MOTOFRETE,POINT (609827.06 7795572)
3374,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,MOTOFRETE,POINT (602920.56 7791161)
3374,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,MOTOFRETE,POINT (602920.56 7791161)
3381,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),AVENIDA,PROFESSOR MARIO WERNECK,ENTRE AVE ENGENHEIRO CARLOS GOULART E RUA WALTER GUIMARAES FIGUEIREDO,MOTOFRETE,POINT (608462.4 7791728)
3381,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),AVENIDA,PROFESSOR MARIO WERNECK,ENTRE AVE ENGENHEIRO CARLOS GOULART E RUA WALTER GUIMARAES FIGUEIREDO,MOTOFRETE,POINT (608462.4 7791728)
3385,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),AVENIDA,OIAPOQUE,ENTRE AVE DO CONTORNO E RUA SAO PAULO,MOTOFRETE,POINT (611107.6 7797680.5)
3385,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),AVENIDA,OIAPOQUE,ENTRE AVE DO CONTORNO E RUA SAO PAULO,MOTOFRETE,POINT (611107.6 7797680.5)
4308,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,MOTOFRETE,POINT (611045.1 7797094)
4308,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,MOTOFRETE,POINT (611045.1 7797094)
4309,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,MOTOFRETE,POINT (610988.5 7797064)
4309,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,MOTOFRETE,POINT (610988.5 7797064)
4310,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),AVENIDA,BRASIL,ENTRE AVE AFONSO PENA E RUA PERNAMBUCO,MOTOFRETE,POINT (611717.5 7795897)
4310,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),AVENIDA,BRASIL,ENTRE AVE AFONSO PENA E RUA PERNAMBUCO,MOTOFRETE,POINT (611717.5 7795897)
3406,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),PRACA,MILTON CAMPOS,ENTRE AVE DO CONTORNO E RUA CAETANO DIAS,MOTOFRETE,POINT (612427.1 7794864)
3406,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),PRACA,MILTON CAMPOS,ENTRE AVE DO CONTORNO E RUA CAETANO DIAS,MOTOFRETE,POINT (612427.1 7794864)
3386,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,1 HORA(S),RUA,CURITIBA,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,MOTOFRETE,POINT (610669.25 7796619)
3386,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,1 HORA(S),RUA,CURITIBA,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,MOTOFRETE,POINT (610669.25 7796619)
3388,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,20,200,1 HORA(S),RUA,DA BAHIA,ENTRE AVE AFONSO PENA E RUA DOS GOITACAZES,MOTOFRETE,POINT (611249.3 7796665)
