ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
3400,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,18,180,1 HORA(S),RUA,RIO GRANDE DO SUL,ENTRE RUA DOS TUPINAMBAS E RUA DOS CARIJOS,MOTOFRETE,POINT (610444.4 7797404.5)
3400,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,18,90,1 HORA(S),RUA,RIO GRANDE DO SUL,ENTRE RUA DOS TUPINAMBAS E RUA DOS CARIJOS,MOTOFRETE,POINT (610444.4 7797404.5)
3409,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,1 HORA(S),RUA,CEARA,ENTRE RUA DOMINGOS VIEIRA E RUA ALVARES MACIEL,MOTOFRETE,POINT (612426.56 7796684.5)
3409,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,1 HORA(S),RUA,CEARA,ENTRE RUA DOMINGOS VIEIRA E RUA ALVARES MACIEL,MOTOFRETE,POINT (612426.56 7796684.5)
3410,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),RUA,DOMINGOS VIEIRA,ENTRE RUA MARANHAO E RUA PIAUI,MOTOFRETE,POINT (612600.44 7796722)
3410,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),RUA,DOMINGOS VIEIRA,ENTRE RUA MARANHAO E RUA PIAUI,MOTOFRETE,POINT (612600.44 7796722)
3411,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),RUA,PROFESSOR OCTAVIANO DE ALMEIDA,ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA,MOTOFRETE,POINT (612921.75 7796865)
3411,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),RUA,PROFESSOR OCTAVIANO DE ALMEIDA,ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA,MOTOFRETE,POINT (612921.75 7796865)
3418,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),RUA,PERNAMBUCO,ENTRE RUA SANTA RITA DURAO E RUA DOS INCONFIDENTES,MOTOFRETE,POINT (611471.75 7795320.5)
3418,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),RUA,PERNAMBUCO,ENTRE RUA SANTA RITA DURAO E RUA DOS INCONFIDENTES,MOTOFRETE,POINT (611471.75 7795320.5)
3420,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),RUA,PADRE PEDRO PINTO,ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ,MOTOFRETE,POINT (608511.25 7808937.5)
3420,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),RUA,PADRE PEDRO PINTO,ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ,MOTOFRETE,POINT (608511.25 7808937.5)
4808,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,1 HORA(S),RUA,DOS TUPIS,ENTRE RUA ESPIRITO SANTO E RUA RIO DE JANEIRO,MOTOFRETE,POINT (611106.6 7796828.5)
4808,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,1 HORA(S),RUA,DOS TUPIS,ENTRE RUA ESPIRITO SANTO E RUA RIO DE JANEIRO,MOTOFRETE,POINT (611106.6 7796828.5)
