ID_EDESP;TIPO_ESTACIONAMENTO;DESTINACAO_ESPECIFICA;DIA_REGRA_OPERACAO;PERIODO_VALIDO_REGRA_OPERACAO;NUMERO_VAGAS_FISICAS;NUMERO_VAGAS_ROTATIVAS;TEMPO_PERMANENCIA;TIPO_LOGRADOURO;LOGRADOURO;REFERENCIA_LOGRADOURO;BAIRRO;GEOMETRIA
337;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;12;120;1 HORA(S);RUA;ALABANDINA;ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS;CAIÇARAS;POINT (607925.62 7800253.15)
338;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;12;60;1 HORA(S);RUA;ALABANDINA;ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS;CAIÇARAS;POINT (607925.62 7800253.15)
355;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);AVENIDA;VISCONDE DE IBITURUNA;ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;POINT (602920.55 7791160.91)
356;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);AVENIDA;VISCONDE DE IBITURUNA;ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;POINT (602920.55 7791160.91)
370;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;18;180;1 HORA(S);RUA;RIO DE JANEIRO;ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS;CENTRO;POINT (611047.50 7796957.12)
371;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;18;90;1 HORA(S);RUA;RIO DE JANEIRO;ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS;CENTRO;POINT (611047.50 7796957.12)
377;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);RUA;ESPIRITO SANTO;ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS;CENTRO;POINT (611149.57 7796793.31)
378;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);RUA;ESPIRITO SANTO;ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS;CENTRO;POINT (611149.57 7796793.31)
386;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;19;190;1 HORA(S);RUA;DESEMBARGADOR RIBEIRO DA LUZ;ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA;BARREIRO;POINT (602992.54 7791137.00)
387;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;19;95;1 HORA(S);RUA;DESEMBARGADOR RIBEIRO DA LUZ;ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA;BARREIRO;POINT (602992.54 7791137.00)
