ID_EDESP;TIPO_ESTACIONAMENTO;DESTINACAO_ESPECIFICA;DIA_REGRA_OPERACAO;PERIODO_VALIDO_REGRA_OPERACAO;NUMERO_VAGAS_FISICAS;NUMERO_VAGAS_ROTATIVAS;TEMPO_PERMANENCIA;TIPO_LOGRADOURO;LOGRADOURO;REFERENCIA_LOGRADOURO;BAIRRO;GEOMETRIA
345;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;12;120;1 HORA(S);RUA;ALABANDINA;ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS;CAIÇARAS;POINT (607925.62 7800253.15)
346;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;12;60;1 HORA(S);RUA;ALABANDINA;ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS;CAIÇARAS;POINT (607925.62 7800253.15)
363;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;6;60;1 HORA(S);AVENIDA;VISCONDE DE IBITURUNA;ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;POINT (602920.55 7791160.91)
364;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;6;30;1 HORA(S);AVENIDA;VISCONDE DE IBITURUNA;ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;POINT (602920.55 7791160.91)
378;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;18;180;1 HORA(S);RUA;RIO DE JANEIRO;ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS;CENTRO;POINT (611047.50 7796957.12)
379;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;18;90;1 HORA(S);RUA;RIO DE JANEIRO;ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS;CENTRO;POINT (611047.50 7796957.12)
385;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;9;90;1 HORA(S);RUA;ESPIRITO SANTO;ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS;CENTRO;POINT (611149.57 7796793.31)
386;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;9;45;1 HORA(S);RUA;ESPIRITO SANTO;ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS;CENTRO;POINT (611149.57 7796793.31)
394;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;6;60;1 HORA(S);RUA;DESEMBARGADOR RIBEIRO DA LUZ;ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA;BARREIRO;POINT (602992.54 7791137.00)
395;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;6;30;1 HORA(S);RUA;DESEMBARGADOR RIBEIRO DA LUZ;ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA;BARREIRO;POINT (602992.54 7791137.00)
