ID_EDESP,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,BAIRRO,GEOMETRIA
345,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,,RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,CAIÇARAS,POINT (607925.62 7800253.15)
346,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,,RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,CAIÇARAS,POINT (607925.62 7800253.15)
363,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,BARREIRO,POINT (602920.55 7791160.91)
364,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,BARREIRO,POINT (602920.55 7791160.91)
378,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,18,180,,RUA,RIO DE JANEIRO,ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS,CENTRO,POINT (611047.50 7796957.12)
379,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,18,90,,RUA,RIO DE JANEIRO,ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS,CENTRO,POINT (611047.50 7796957.12)
385,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,CENTRO,POINT (611149.57 7796793.31)
386,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,CENTRO,POINT (611149.57 7796793.31)
394,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,DESEMBARGADOR RIBEIRO DA LUZ,ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA,BARREIRO,POINT (602992.54 7791137.00)
395,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,DESEMBARGADOR RIBEIRO DA LUZ,ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA,BARREIRO,POINT (602992.54 7791137.00)
7,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,PADRE PEDRO PINTO,ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ,VENDA NOVA,POINT (608511.26 7808937.35)
8,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,PADRE PEDRO PINTO,ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ,VENDA NOVA,POINT (608511.26 7808937.35)
76,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.29 7790799.21)
77,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.29 7790799.21)
116,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,5,50,,RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.38 7794681.32)
117,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,5,25,,RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.38 7794681.32)
120,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,13,130,,AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,SANTA EFIGÊNIA,POINT (612503.55 7796351.92)
121,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,13,65,,AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,SANTA EFIGÊNIA,POINT (612503.55 7796351.92)
205,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,ANTONIO DE ALBUQUERQUE,ENTRE RUA SERGIPE E RUA LEVINDO LOPES,SAVASSI,POINT (611006.62 7795116.85)
206,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,ANTONIO DE ALBUQUERQUE,ENTRE RUA SERGIPE E RUA LEVINDO LOPES,SAVASSI,POINT (611006.62 7795116.85)
534,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,RIO GRANDE DO NORTE,ENTRE RUA DOS AIMORES E AVE AFONSO PENA,FUNCIONÁRIOS,POINT (611891.14 7795808.21)
535,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,RIO GRANDE DO NORTE,ENTRE RUA DOS AIMORES E AVE AFONSO PENA,FUNCIONÁRIOS,POINT (611891.14 7795808.21)
562,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,11,110,,AVENIDA,GETULIO VARGAS,ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO,SAVASSI,POINT (611527.56 7795100.87)
563,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,11,55,,AVENIDA,GETULIO VARGAS,ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO,SAVASSI,POINT (611527.56 7795100.87)
567,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,AVENIDA,AFONSO VAZ DE MELO,ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS,BARREIRO,POINT (602465.28 7791057.89)
568,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,AVENIDA,AFONSO VAZ DE MELO,ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS,BARREIRO,POINT (602465.28 7791057.89)
576,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,19,190,,AVENIDA,ALVARES CABRAL,ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO,SANTO AGOSTINHO,POINT (609827.04 7795571.90)
577,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,19,95,,AVENIDA,ALVARES CABRAL,ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO,SANTO AGOSTINHO,POINT (609827.04 7795571.90)
657,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,5,50,,PRACA,MILTON CAMPOS,ENTRE AVE DO CONTORNO E RUA CAETANO DIAS,SERRA,POINT (612427.10 7794864.22)
658,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,5,25,,PRACA,MILTON CAMPOS,ENTRE AVE DO CONTORNO E RUA CAETANO DIAS,SERRA,POINT (612427.10 7794864.22)
667,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,AVENIDA,FRANCISCO SALES,ENTRE RUA PADRE ROLIM E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612623.79 7796023.73)
668,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,AVENIDA,FRANCISCO SALES,ENTRE RUA PADRE ROLIM E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612623.79 7796023.73)
680,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,AVENIDA,PASTEUR,ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612085.42 7796209.14)
681,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,PASTEUR,ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612085.42 7796209.14)
457,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,RUA,AQUILES LOBO,ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE,FLORESTA,POINT (611920.00 7797037.02)
458,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,RUA,AQUILES LOBO,ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE,FLORESTA,POINT (611920.00 7797037.02)
523,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,RUA,PROFESSOR OCTAVIANO DE ALMEIDA,ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA,SANTA EFIGÊNIA,POINT (612921.77 7796865.25)
524,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,RUA,PROFESSOR OCTAVIANO DE ALMEIDA,ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA,SANTA EFIGÊNIA,POINT (612921.77 7796865.25)
720,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (611045.15 7797094.09)
721,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (611045.15 7797094.09)
722,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (610988.52 7797063.81)
723,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (610988.52 7797063.81)
727,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,AVENIDA,OIAPOQUE,ENTRE AVE DO CONTORNO E RUA SAO PAULO,CENTRO,POINT (611107.62 7797680.28)
728,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,OIAPOQUE,ENTRE AVE DO CONTORNO E RUA SAO PAULO,CENTRO,POINT (611107.62 7797680.28)
825,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,AVENIDA,GETULIO VARGAS,ENTRE RUA ALAGOAS E AVE DO CONTORNO,SAVASSI,POINT (611101.09 7794853.90)
826,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,GETULIO VARGAS,ENTRE RUA ALAGOAS E AVE DO CONTORNO,SAVASSI,POINT (611101.09 7794853.90)
832,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,,AVENIDA,OLEGARIO MACIEL,ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO,SANTO AGOSTINHO,POINT (610041.19 7795409.00)
833,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,,AVENIDA,OLEGARIO MACIEL,ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO,SANTO AGOSTINHO,POINT (610041.19 7795409.00)
855,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,5,50,,RUA,EDGARD COELHO,ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES,SERRA,POINT (612562.30 7795268.17)
856,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,5,25,,RUA,EDGARD COELHO,ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES,SERRA,POINT (612562.30 7795268.17)
875,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,13,65,,RUA,MATO GROSSO,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,BARRO PRETO,POINT (610108.95 7796686.23)
876,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,13,130,,RUA,MATO GROSSO,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,BARRO PRETO,POINT (610108.95 7796686.23)
879,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,13,130,,RUA,CURITIBA,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,CENTRO,POINT (610669.22 7796618.80)
880,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,13,65,,RUA,CURITIBA,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,CENTRO,POINT (610669.22 7796618.80)
752,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,AVENIDA,AFONSO PENA,ENTRE RUA TRIFANA E RUA ALFENAS,SERRA,POINT (612735.40 7794295.64)
753,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,AFONSO PENA,ENTRE RUA TRIFANA E RUA ALFENAS,SERRA,POINT (612735.40 7794295.64)
799,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,15,150,,RUA,DOS TIMBIRAS,ENTRE RUA PARACATU E AVE BARBACENA,BARRO PRETO,POINT (609633.67 7796629.40)
800,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,15,75,,RUA,DOS TIMBIRAS,ENTRE RUA PARACATU E AVE BARBACENA,BARRO PRETO,POINT (609633.67 7796629.40)
1065,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,BARBACENA,ENTRE RUA ARAGUARI E RUA ALVARENGA PEIXOTO,SANTO AGOSTINHO,POINT (609862.73 7796095.42)
1149,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,RUA,DOS GUAICURUS,ENTRE RUA SAO PAULO E RUA CURITIBA,CENTRO,POINT (610957.44 7797623.91)
1150,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,RUA,DOS GUAICURUS,ENTRE RUA SAO PAULO E RUA CURITIBA,CENTRO,POINT (610957.44 7797623.91)
1168,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,13,130,,RUA,DOS CARIJOS,ENTRE RUA SAO PAULO E RUA CURITIBA,CENTRO,POINT (610915.80 7797161.46)
