ID_EDESP,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,BAIRRO,GEOMETRIA
370,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,18,180,,RUA,RIO DE JANEIRO,ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS,CENTRO,POINT (611047.50 7796957.12)
371,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,18,90,,RUA,RIO DE JANEIRO,ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS,CENTRO,POINT (611047.50 7796957.12)
377,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,CENTRO,POINT (611149.57 7796793.31)
378,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,CENTRO,POINT (611149.57 7796793.31)
75,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.29 7790799.21)
76,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.29 7790799.21)
115,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.38 7794681.32)
116,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.38 7794681.32)
119,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,,AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,SANTA EFIGÊNIA,POINT (612503.55 7796351.92)
120,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,,AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,SANTA EFIGÊNIA,POINT (612503.55 7796351.92)
201,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,ANTONIO DE ALBUQUERQUE,ENTRE RUA SERGIPE E RUA LEVINDO LOPES,SAVASSI,POINT (611006.62 7795116.85)
202,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,ANTONIO DE ALBUQUERQUE,ENTRE RUA SERGIPE E RUA LEVINDO LOPES,SAVASSI,POINT (611006.62 7795116.85)
669,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,AVENIDA,PASTEUR,ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612085.42 7796209.14)
